gbifID;publisher;datasetID;datasetName;decimalLatitude;decimalLongitude;scientificName;publisher;coordinatePrecision;coordinateUncertaintyInMeters;datasetID;datasetName;decimalLatitude;decimalLongitude;geodeticDatum;scientificName
232611259;;;;37.17218;-2.02563;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611325;;;;37.08767;-1.85613;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611457;;;;37.2046;-1.99921;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611460;;;;37.19182;-1.98375;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611523;;;;37.31567;-2.17095;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611556;;;;37.46393;-2.19723;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611589;;;;37.09774;-2.45056;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611592;;;;37.10716;-2.43933;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611619;;;;37.44981;-2.15526;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611622;;;;37.52444;-2.16796;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611688;;;;37.27066;-2.04735;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611691;;;;36.85345;-2.69253;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611721;;;;36.98717;-2.65218;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611754;;;;37.50066;-2.1013;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611787;;;;37.49931;-2.21186;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611790;;;;37.41699;-2.42022;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611817;;;;37.1801;-2.38406;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611820;;;;37.01883;-2.26796;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232611853;;;;37.15796;-2.22609;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
232612021;;;;36.85109;-3.5051;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
235646904;;;Dpto de Botánica, Ecología y Fisiología Vegetal (herbario_cofc).Facultad de Ciencias.Universidad de Córdoba;36.73;-2.16;Anthyllis cytisoides L.;;;7071;;Dpto de Botánica, Ecología y Fisiología Vegetal (herbario_cofc).Facultad de Ciencias.Universidad de Córdoba;36.72999954;-2.160000086;;Anthyllis cytisoides L.
237617708;;837381f4-f762-11e1-a439-00145eb45e9a;Herbario EMMA. Herbario de la Escuela Técnica Superior de Ingenieros de Montes. UPM;;;Anthyllis cytisoides L.;;;;837381f4-f762-11e1-a439-00145eb45e9a;Herbario EMMA. Herbario de la Escuela Técnica Superior de Ingenieros de Montes. UPM;;;;Anthyllis cytisoides L.
237617711;;837381f4-f762-11e1-a439-00145eb45e9a;Herbario EMMA. Herbario de la Escuela Técnica Superior de Ingenieros de Montes. UPM;;;Anthyllis cytisoides L.;;;;837381f4-f762-11e1-a439-00145eb45e9a;Herbario EMMA. Herbario de la Escuela Técnica Superior de Ingenieros de Montes. UPM;;;;Anthyllis cytisoides L.
29576617;;;;39.788;-0.355;Anthyllis cytisoides L.;;;707;;;39.788;-0.355;;Anthyllis cytisoides L.
29577049;;;;39.68;-0.38;Anthyllis cytisoides L.;;;7071;;;39.68;-0.38;;Anthyllis cytisoides L.
29577607;;;;;;Anthyllis cytisoides L.;;;;;;;;;Anthyllis cytisoides L.
29578435;;;;40.21;-0.12;Anthyllis cytisoides L.;;;7071;;;40.21;-0.12;;Anthyllis cytisoides L.
29578468;;;;39.78;-1.19;Anthyllis cytisoides L.;;;7071;;;39.78;-1.19;;Anthyllis cytisoides L.
29578600;;;;39.04;-0.28;Anthyllis cytisoides L.;;;7071;;;39.04;-0.28;;Anthyllis cytisoides L.
332263677;;;;;;Anthyllis cytisoides L.;;;;;;;;;Anthyllis cytisoides L.
332263680;;;;;;Anthyllis cytisoides L.;;;;;;;;;Anthyllis cytisoides L.
30950839;;;;;;Anthyllis cytisoides L.;;0;;;;;;;Anthyllis cytisoides L.
30950905;;;;38.47;-0.51;Anthyllis cytisoides L.;;0;;;;;;;Anthyllis cytisoides L.
30951238;;;;36.99;-2.4;Anthyllis cytisoides L.;;0;;;;;;;Anthyllis cytisoides L.
30700735;;;;;;Anthyllis cytisoides L.;;;;;;;;;Anthyllis cytisoides
30847489;;;;36.96;-3;Anthyllis cytisoides L.;;7071;;;;;;;Anthyllis cytisoides L.
30847687;;;;39.48;2.65;Anthyllis cytisoides L.;;7071;;;;;;;Anthyllis cytisoides L.
30648301;;;;;;Anthyllis cytisoides L.;;;;;;;;;Anthyllis cytisoides L.
163961450;;;;;;Anthyllis cytisoides L.;;0;;;;;;;Anthyllis cytisoides L.
163961612;;;;;;Anthyllis cytisoides L.;;0;;;;;;;Anthyllis cytisoides L.
164142812;;;Dpto de Botánica, Ecología y Fisiología Vegetal (herbario_cofc).Facultad de Ciencias.Universidad de Córdoba;;;Anthyllis cytisoides L.;;;;;Dpto de Botánica, Ecología y Fisiología Vegetal (herbario_cofc).Facultad de Ciencias.Universidad de Córdoba;;;;Anthyllis cytisoides L.
142910956;;;;;;Anthyllis cytisoides L.;;;;;;;;;Anthyllis cytisoides L.
175906012;;;;;;Anthyllis cytisoides L.;;;;;;;;;Anthyllis cytisoides
196092158;;;Dpto de Botánica, Ecología y Fisiología Vegetal (herbario_cofc).Facultad de Ciencias.Universidad de Córdoba;37.44;-4.41;Anthyllis cytisoides L.;;;7071;;Dpto de Botánica, Ecología y Fisiología Vegetal (herbario_cofc).Facultad de Ciencias.Universidad de Córdoba;37.43999863;-4.409999847;;Anthyllis cytisoides L.
196092161;;;Dpto de Botánica, Ecología y Fisiología Vegetal (herbario_cofc).Facultad de Ciencias.Universidad de Córdoba;37.26;-4.52;Anthyllis cytisoides L.;;;7071;;Dpto de Botánica, Ecología y Fisiología Vegetal (herbario_cofc).Facultad de Ciencias.Universidad de Córdoba;37.25999832;-4.519999981;;Anthyllis cytisoides L.
