"Species","lon","lat"
"Anthyllis cytisoides",-1.623,38.242
"Anthyllis cytisoides",-4.68,36.58
"Anthyllis cytisoides",-0.75,38.32
"Anthyllis cytisoides",2.33975,41.50293
"Anthyllis cytisoides",-6.423,38.41426
"Anthyllis cytisoides",2.5909,41.7844
"Anthyllis cytisoides",-2.6821,37.7753
"Anthyllis cytisoides",-1.8373,40.8605
"Anthyllis cytisoides",-1.7858,38.4183
"Anthyllis cytisoides",-1.5468,38.3435
"Anthyllis cytisoides",-1.8077,38.4816
"Anthyllis cytisoides",-0.1881,42.5161
"Anthyllis cytisoides",-3.6985,40.7111
"Anthyllis cytisoides",-4.8731,36.8506
"Anthyllis cytisoides",-0.2807,38.5462
"Anthyllis cytisoides",0.0467,38.6577
"Anthyllis cytisoides",-0.2908,38.5825
"Anthyllis cytisoides",-0.7412,38.4929
"Anthyllis cytisoides",-1.7184,38.3455
"Anthyllis cytisoides",-1.7185,38.3365
"Anthyllis cytisoides",-1.6291,38.2274
"Anthyllis cytisoides",-1.5721,38.2177
"Anthyllis cytisoides",-1.6989,38.1561
"Anthyllis cytisoides",-1.4365,38.1529
"Anthyllis cytisoides",-1.6452,37.9752
"Anthyllis cytisoides",-0.9287,37.9468
"Anthyllis cytisoides",-1.123,37.914
"Anthyllis cytisoides",-1.1349,37.8961
"Anthyllis cytisoides",-2.0676,37.8802
"Anthyllis cytisoides",-2.595,37.072
"Anthyllis cytisoides",-1.9873,37.0954
"Anthyllis cytisoides",-2.7083,36.856
"Anthyllis cytisoides",-0.0208,40.0893
"Anthyllis cytisoides",-0.665,40.1131
"Anthyllis cytisoides",-0.7054,39.6094
"Anthyllis cytisoides",-1.1667,39.3383
"Anthyllis cytisoides",-1.0069,39.2456
"Anthyllis cytisoides",-0.531,38.9392
"Anthyllis cytisoides",-0.5153,39.7136
"Anthyllis cytisoides",-1.1549,39.3472
"Anthyllis cytisoides",-0.5981,39.0037
"Anthyllis cytisoides",-0.1342,40.1822
"Anthyllis cytisoides",-2.09985,36.78063
"Anthyllis cytisoides",-5.79,36.47
"Anthyllis cytisoides",-0.71,38.28
"Anthyllis cytisoides",-4,36.77
"Anthyllis cytisoides",-3.79,37.94
"Anthyllis cytisoides",-2.08,38.3
"Anthyllis cytisoides",-0.7,38.46
"Anthyllis cytisoides",-0.89,39.73
"Anthyllis cytisoides",-2.21,37.31
"Anthyllis cytisoides",0.4,40.44
"Anthyllis cytisoides",-0.36651,39.94455
"Anthyllis cytisoides",-0.59724,40.03965
"Anthyllis cytisoides",-1.43369,39.33323
"Anthyllis cytisoides",-0.87555,38.60359
"Anthyllis cytisoides",-1.09311,39.05785
"Anthyllis cytisoides",-0.01889,38.63444
"Anthyllis cytisoides",-0.59,38.28
"Anthyllis cytisoides",-3.22,36.86
"Anthyllis cytisoides",-0.12,38.63
"Anthyllis cytisoides",-1.05,38.2
"Anthyllis cytisoides",-4.9,36.67
"Anthyllis cytisoides",-1.28,38.29
"Anthyllis cytisoides",-1.47,39.92
